"cargo_type,cargo_weight_tons,shipping_month,origin_port,destination_port,origin_efficiency_score,destination_efficiency_score,avg_dwell_time_origin,customs_clearance_score,congestion_index,weather_risk_score,handling_complexity_score,delay,cargo_type_encoded,origin_port_encoded,destination_port_encoded"
"Fragile,6.07,3,Chennai,Mumbai,0.7,0.65,2.1,0.7,0.5,0.6,0.8,1,1,0,4"
"Fragile,5.16,2,Mumbai,JNPT,0.65,0.85,2.5,0.6,0.6,0.5,0.8,1,1,4,2"
"Electronics,1.13,3,Cochin,JNPT,0.75,0.85,1.8,0.75,0.4,0.6,0.7,0,0,1,2"
"Machinery,8.7,5,Cochin,JNPT,0.75,0.85,1.8,0.75,0.4,0.6,0.5,0,2,1,2"
"Standard,13.24,10,Kolkata,Cochin,0.6,0.75,3.0,0.5,0.7,0.8,0.3,1,4,3,1"
"Standard,12.86,6,Chennai,Mumbai,0.7,0.65,2.1,0.7,0.5,0.6,0.3,0,4,0,4"
"Perishable,16.71,8,Mumbai,Mundra,0.65,0.9,2.5,0.6,0.6,0.5,0.9,1,3,4,5"
"Perishable,15.9,8,Kolkata,Cochin,0.6,0.75,3.0,0.5,0.7,0.8,0.9,1,3,3,1"
"Electronics,10.17,10,Chennai,Mundra,0.7,0.9,2.1,0.7,0.5,0.6,0.7,0,0,0,5"
"Perishable,3.48,5,Cochin,Mumbai,0.75,0.65,1.8,0.75,0.4,0.6,0.9,0,3,1,4"
"Electronics,5.34,7,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.7,1,0,3,2"
"Standard,2.91,10,JNPT,Chennai,0.85,0.7,1.2,0.9,0.3,0.4,0.3,0,4,2,0"
"Fragile,7.05,7,Chennai,Cochin,0.7,0.75,2.1,0.7,0.5,0.6,0.8,1,1,0,1"
"Perishable,8.7,2,Chennai,Mumbai,0.7,0.65,2.1,0.7,0.5,0.6,0.9,1,3,0,4"
"Machinery,0.67,12,Kolkata,Cochin,0.6,0.75,3.0,0.5,0.7,0.8,0.5,1,2,3,1"
"Perishable,0.88,7,Chennai,Kolkata,0.7,0.6,2.1,0.7,0.5,0.6,0.9,1,3,0,3"
"Standard,2.44,10,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.3,0,4,1,3"
"Machinery,17.73,12,Mundra,Mumbai,0.9,0.65,1.0,0.95,0.2,0.3,0.5,0,2,5,4"
"Electronics,11.73,1,Mumbai,Kolkata,0.65,0.6,2.5,0.6,0.6,0.5,0.7,1,0,4,3"
"Machinery,5.15,8,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.5,1,2,3,5"
"Standard,19.92,12,Mundra,Mumbai,0.9,0.65,1.0,0.95,0.2,0.3,0.3,0,4,5,4"
"Perishable,18.42,5,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.9,1,3,3,2"
"Fragile,10.06,2,JNPT,Mumbai,0.85,0.65,1.2,0.9,0.3,0.4,0.8,0,1,2,4"
"Fragile,4.41,12,Chennai,Mundra,0.7,0.9,2.1,0.7,0.5,0.6,0.8,1,1,0,5"
"Fragile,13.06,6,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.8,1,1,3,2"
"Fragile,18.11,5,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.8,0,1,1,3"
"Machinery,17.94,12,Mundra,Chennai,0.9,0.7,1.0,0.95,0.2,0.3,0.5,0,2,5,0"
"Machinery,13.73,4,Mundra,JNPT,0.9,0.85,1.0,0.95,0.2,0.3,0.5,0,2,5,2"
"Fragile,15.39,2,Cochin,Mundra,0.75,0.9,1.8,0.75,0.4,0.6,0.8,0,1,1,5"
"Electronics,8.48,8,Kolkata,Mumbai,0.6,0.65,3.0,0.5,0.7,0.8,0.7,1,0,3,4"
"Perishable,9.42,11,Cochin,Mumbai,0.75,0.65,1.8,0.75,0.4,0.6,0.9,0,3,1,4"
"Perishable,11.35,7,Chennai,Cochin,0.7,0.75,2.1,0.7,0.5,0.6,0.9,1,3,0,1"
"Standard,7.12,8,Mundra,Kolkata,0.9,0.6,1.0,0.95,0.2,0.3,0.3,0,4,5,3"
"Machinery,1.27,3,Chennai,Cochin,0.7,0.75,2.1,0.7,0.5,0.6,0.5,0,2,0,1"
"Perishable,2.47,5,Cochin,Mundra,0.75,0.9,1.8,0.75,0.4,0.6,0.9,0,3,1,5"
"Fragile,8.95,2,Mundra,Cochin,0.9,0.75,1.0,0.95,0.2,0.3,0.8,0,1,5,1"
"Fragile,8.57,10,JNPT,Cochin,0.85,0.75,1.2,0.9,0.3,0.4,0.8,0,1,2,1"
"Standard,12.85,9,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.3,0,4,1,3"
"Fragile,16.24,3,Mumbai,JNPT,0.65,0.85,2.5,0.6,0.6,0.5,0.8,1,1,4,2"
"Fragile,5.19,11,JNPT,Cochin,0.85,0.75,1.2,0.9,0.3,0.4,0.8,0,1,2,1"
"Standard,6.08,5,Mundra,Kolkata,0.9,0.6,1.0,0.95,0.2,0.3,0.3,0,4,5,3"
"Perishable,12.52,2,Mundra,Chennai,0.9,0.7,1.0,0.95,0.2,0.3,0.9,0,3,5,0"
"Standard,15.73,6,Kolkata,Cochin,0.6,0.75,3.0,0.5,0.7,0.8,0.3,1,4,3,1"
"Machinery,5.4,5,Mundra,JNPT,0.9,0.85,1.0,0.95,0.2,0.3,0.5,0,2,5,2"
"Standard,17.42,2,Cochin,Mundra,0.75,0.9,1.8,0.75,0.4,0.6,0.3,0,4,1,5"
"Fragile,8.69,10,Mundra,Cochin,0.9,0.75,1.0,0.95,0.2,0.3,0.8,0,1,5,1"
"Machinery,18.38,9,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.5,1,2,3,5"
"Electronics,5.86,12,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.7,0,0,2,3"
"Fragile,17.52,3,Mumbai,Mundra,0.65,0.9,2.5,0.6,0.6,0.5,0.8,1,1,4,5"
"Perishable,16.87,9,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.9,1,3,3,5"
"Electronics,17.83,5,Chennai,Cochin,0.7,0.75,2.1,0.7,0.5,0.6,0.7,0,0,0,1"
"Perishable,19.91,2,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.9,1,3,3,5"
"Fragile,19.66,2,Mundra,Mumbai,0.9,0.65,1.0,0.95,0.2,0.3,0.8,0,1,5,4"
"Perishable,5.79,6,Cochin,Mundra,0.75,0.9,1.8,0.75,0.4,0.6,0.9,0,3,1,5"
"Standard,12.3,6,Kolkata,Cochin,0.6,0.75,3.0,0.5,0.7,0.8,0.3,1,4,3,1"
"Standard,2.4,5,Mumbai,Chennai,0.65,0.7,2.5,0.6,0.6,0.5,0.3,1,4,4,0"
"Machinery,4.22,1,Mumbai,Cochin,0.65,0.75,2.5,0.6,0.6,0.5,0.5,1,2,4,1"
"Electronics,19.65,10,Chennai,Kolkata,0.7,0.6,2.1,0.7,0.5,0.6,0.7,0,0,0,3"
"Perishable,6.3,9,Chennai,Kolkata,0.7,0.6,2.1,0.7,0.5,0.6,0.9,1,3,0,3"
"Machinery,7.74,6,Mundra,Mumbai,0.9,0.65,1.0,0.95,0.2,0.3,0.5,0,2,5,4"
"Fragile,19.64,4,Mumbai,Chennai,0.65,0.7,2.5,0.6,0.6,0.5,0.8,1,1,4,0"
"Electronics,1.98,6,Kolkata,Cochin,0.6,0.75,3.0,0.5,0.7,0.8,0.7,1,0,3,1"
"Perishable,8.25,12,Cochin,Mumbai,0.75,0.65,1.8,0.75,0.4,0.6,0.9,0,3,1,4"
"Machinery,6.27,2,Cochin,Mumbai,0.75,0.65,1.8,0.75,0.4,0.6,0.5,0,2,1,4"
"Machinery,0.9,4,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.5,0,2,1,3"
"Perishable,3.52,3,Mundra,JNPT,0.9,0.85,1.0,0.95,0.2,0.3,0.9,0,3,5,2"
"Machinery,7.92,10,JNPT,Chennai,0.85,0.7,1.2,0.9,0.3,0.4,0.5,0,2,2,0"
"Perishable,1.39,10,Mumbai,JNPT,0.65,0.85,2.5,0.6,0.6,0.5,0.9,1,3,4,2"
"Machinery,2.0,10,Mumbai,Chennai,0.65,0.7,2.5,0.6,0.6,0.5,0.5,1,2,4,0"
"Electronics,11.16,11,JNPT,Mumbai,0.85,0.65,1.2,0.9,0.3,0.4,0.7,0,0,2,4"
"Fragile,17.44,7,Cochin,Chennai,0.75,0.7,1.8,0.75,0.4,0.6,0.8,0,1,1,0"
"Perishable,17.94,8,Cochin,JNPT,0.75,0.85,1.8,0.75,0.4,0.6,0.9,0,3,1,2"
"Standard,10.01,4,Mumbai,Chennai,0.65,0.7,2.5,0.6,0.6,0.5,0.3,1,4,4,0"
"Standard,9.13,1,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.3,1,4,3,5"
"Electronics,11.66,5,Cochin,Chennai,0.75,0.7,1.8,0.75,0.4,0.6,0.7,0,0,1,0"
"Perishable,10.71,1,Kolkata,Mumbai,0.6,0.65,3.0,0.5,0.7,0.8,0.9,1,3,3,4"
"Electronics,2.45,4,Mumbai,JNPT,0.65,0.85,2.5,0.6,0.6,0.5,0.7,1,0,4,2"
"Electronics,10.72,9,Chennai,JNPT,0.7,0.85,2.1,0.7,0.5,0.6,0.7,0,0,0,2"
"Electronics,0.52,10,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.7,1,0,3,2"
"Fragile,12.18,7,JNPT,Chennai,0.85,0.7,1.2,0.9,0.3,0.4,0.8,0,1,2,0"
"Perishable,2.67,5,Kolkata,Chennai,0.6,0.7,3.0,0.5,0.7,0.8,0.9,1,3,3,0"
"Standard,16.85,3,JNPT,Mundra,0.85,0.9,1.2,0.9,0.3,0.4,0.3,0,4,2,5"
"Machinery,14.59,9,Mumbai,JNPT,0.65,0.85,2.5,0.6,0.6,0.5,0.5,1,2,4,2"
"Fragile,5.09,8,Mundra,Cochin,0.9,0.75,1.0,0.95,0.2,0.3,0.8,0,1,5,1"
"Electronics,11.03,12,Kolkata,Mumbai,0.6,0.65,3.0,0.5,0.7,0.8,0.7,1,0,3,4"
"Electronics,9.28,4,Chennai,Cochin,0.7,0.75,2.1,0.7,0.5,0.6,0.7,0,0,0,1"
"Standard,19.97,5,JNPT,Mumbai,0.85,0.65,1.2,0.9,0.3,0.4,0.3,0,4,2,4"
"Machinery,6.93,4,Kolkata,Mumbai,0.6,0.65,3.0,0.5,0.7,0.8,0.5,1,2,3,4"
"Standard,5.33,6,Chennai,Cochin,0.7,0.75,2.1,0.7,0.5,0.6,0.3,0,4,0,1"
"Machinery,6.22,4,Cochin,Mumbai,0.75,0.65,1.8,0.75,0.4,0.6,0.5,0,2,1,4"
"Fragile,17.16,3,Kolkata,Cochin,0.6,0.75,3.0,0.5,0.7,0.8,0.8,1,1,3,1"
"Standard,14.01,6,Mumbai,JNPT,0.65,0.85,2.5,0.6,0.6,0.5,0.3,1,4,4,2"
"Machinery,12.09,3,JNPT,Chennai,0.85,0.7,1.2,0.9,0.3,0.4,0.5,0,2,2,0"
"Electronics,6.47,11,Cochin,JNPT,0.75,0.85,1.8,0.75,0.4,0.6,0.7,0,0,1,2"
"Perishable,15.88,11,Mumbai,Kolkata,0.65,0.6,2.5,0.6,0.6,0.5,0.9,1,3,4,3"
"Perishable,14.68,6,Cochin,Mumbai,0.75,0.65,1.8,0.75,0.4,0.6,0.9,0,3,1,4"
"Standard,17.74,11,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.3,0,4,1,3"
"Perishable,16.61,8,JNPT,Mundra,0.85,0.9,1.2,0.9,0.3,0.4,0.9,0,3,2,5"
"Perishable,15.92,4,JNPT,Cochin,0.85,0.75,1.2,0.9,0.3,0.4,0.9,0,3,2,1"
"Standard,14.1,9,Mundra,Chennai,0.9,0.7,1.0,0.95,0.2,0.3,0.3,0,4,5,0"
"Standard,0.82,1,Cochin,JNPT,0.75,0.85,1.8,0.75,0.4,0.6,0.3,0,4,1,2"
"Machinery,0.52,4,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.5,0,2,1,3"
"Standard,0.85,11,Cochin,Chennai,0.75,0.7,1.8,0.75,0.4,0.6,0.3,0,4,1,0"
"Fragile,2.48,5,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.8,1,1,3,5"
"Perishable,0.83,3,Kolkata,Mumbai,0.6,0.65,3.0,0.5,0.7,0.8,0.9,1,3,3,4"
"Fragile,18.99,5,Mundra,JNPT,0.9,0.85,1.0,0.95,0.2,0.3,0.8,0,1,5,2"
"Perishable,19.65,11,Mundra,JNPT,0.9,0.85,1.0,0.95,0.2,0.3,0.9,0,3,5,2"
"Machinery,9.31,1,Kolkata,Cochin,0.6,0.75,3.0,0.5,0.7,0.8,0.5,1,2,3,1"
"Electronics,15.89,12,Chennai,Cochin,0.7,0.75,2.1,0.7,0.5,0.6,0.7,0,0,0,1"
"Standard,19.09,5,Cochin,Chennai,0.75,0.7,1.8,0.75,0.4,0.6,0.3,0,4,1,0"
"Perishable,6.8,12,Kolkata,Mumbai,0.6,0.65,3.0,0.5,0.7,0.8,0.9,1,3,3,4"
"Machinery,4.79,8,JNPT,Chennai,0.85,0.7,1.2,0.9,0.3,0.4,0.5,0,2,2,0"
"Electronics,8.08,8,Cochin,Mumbai,0.75,0.65,1.8,0.75,0.4,0.6,0.7,0,0,1,4"
"Perishable,4.99,4,JNPT,Mundra,0.85,0.9,1.2,0.9,0.3,0.4,0.9,0,3,2,5"
"Electronics,4.37,10,Cochin,Mundra,0.75,0.9,1.8,0.75,0.4,0.6,0.7,0,0,1,5"
"Perishable,13.84,7,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.9,0,3,2,3"
"Electronics,6.17,4,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.7,1,0,3,2"
"Perishable,12.4,4,JNPT,Mundra,0.85,0.9,1.2,0.9,0.3,0.4,0.9,0,3,2,5"
"Electronics,10.78,11,Mundra,JNPT,0.9,0.85,1.0,0.95,0.2,0.3,0.7,0,0,5,2"
"Perishable,3.86,5,Chennai,Mundra,0.7,0.9,2.1,0.7,0.5,0.6,0.9,1,3,0,5"
"Electronics,7.35,3,Cochin,Chennai,0.75,0.7,1.8,0.75,0.4,0.6,0.7,0,0,1,0"
"Perishable,12.07,4,Chennai,Cochin,0.7,0.75,2.1,0.7,0.5,0.6,0.9,1,3,0,1"
"Standard,0.94,6,Mumbai,Cochin,0.65,0.75,2.5,0.6,0.6,0.5,0.3,1,4,4,1"
"Perishable,3.21,8,Kolkata,Chennai,0.6,0.7,3.0,0.5,0.7,0.8,0.9,1,3,3,0"
"Fragile,1.83,10,Cochin,Chennai,0.75,0.7,1.8,0.75,0.4,0.6,0.8,0,1,1,0"
"Electronics,7.64,3,Cochin,Mundra,0.75,0.9,1.8,0.75,0.4,0.6,0.7,0,0,1,5"
"Electronics,16.33,12,Kolkata,Chennai,0.6,0.7,3.0,0.5,0.7,0.8,0.7,1,0,3,0"
"Perishable,12.99,7,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.9,1,3,3,2"
"Electronics,1.02,9,Chennai,Kolkata,0.7,0.6,2.1,0.7,0.5,0.6,0.7,0,0,0,3"
"Standard,13.33,4,JNPT,Chennai,0.85,0.7,1.2,0.9,0.3,0.4,0.3,0,4,2,0"
"Perishable,5.35,6,Cochin,Mundra,0.75,0.9,1.8,0.75,0.4,0.6,0.9,0,3,1,5"
"Standard,14.22,5,Mundra,Kolkata,0.9,0.6,1.0,0.95,0.2,0.3,0.3,0,4,5,3"
"Perishable,18.26,10,Cochin,JNPT,0.75,0.85,1.8,0.75,0.4,0.6,0.9,0,3,1,2"
"Perishable,4.16,5,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.9,1,3,3,2"
"Machinery,17.75,12,Mundra,Mumbai,0.9,0.65,1.0,0.95,0.2,0.3,0.5,0,2,5,4"
"Fragile,2.71,2,Mundra,JNPT,0.9,0.85,1.0,0.95,0.2,0.3,0.8,0,1,5,2"
"Machinery,4.39,10,Kolkata,Mumbai,0.6,0.65,3.0,0.5,0.7,0.8,0.5,1,2,3,4"
"Fragile,1.28,12,JNPT,Mundra,0.85,0.9,1.2,0.9,0.3,0.4,0.8,0,1,2,5"
"Machinery,13.26,8,Mumbai,Cochin,0.65,0.75,2.5,0.6,0.6,0.5,0.5,1,2,4,1"
"Standard,18.01,4,Mundra,JNPT,0.9,0.85,1.0,0.95,0.2,0.3,0.3,0,4,5,2"
"Standard,9.74,11,Mumbai,Mundra,0.65,0.9,2.5,0.6,0.6,0.5,0.3,1,4,4,5"
"Standard,8.97,6,Mumbai,Kolkata,0.65,0.6,2.5,0.6,0.6,0.5,0.3,1,4,4,3"
"Machinery,13.16,11,JNPT,Cochin,0.85,0.75,1.2,0.9,0.3,0.4,0.5,0,2,2,1"
"Machinery,12.01,1,Chennai,Mumbai,0.7,0.65,2.1,0.7,0.5,0.6,0.5,0,2,0,4"
"Fragile,4.35,8,Mundra,Chennai,0.9,0.7,1.0,0.95,0.2,0.3,0.8,0,1,5,0"
"Fragile,17.74,8,Mumbai,Cochin,0.65,0.75,2.5,0.6,0.6,0.5,0.8,1,1,4,1"
"Fragile,14.36,2,Kolkata,Cochin,0.6,0.75,3.0,0.5,0.7,0.8,0.8,1,1,3,1"
"Perishable,9.55,9,Chennai,Kolkata,0.7,0.6,2.1,0.7,0.5,0.6,0.9,1,3,0,3"
"Standard,16.19,10,Mumbai,Kolkata,0.65,0.6,2.5,0.6,0.6,0.5,0.3,1,4,4,3"
"Machinery,8.36,6,JNPT,Cochin,0.85,0.75,1.2,0.9,0.3,0.4,0.5,0,2,2,1"
"Machinery,14.75,9,JNPT,Chennai,0.85,0.7,1.2,0.9,0.3,0.4,0.5,0,2,2,0"
"Machinery,17.5,7,Kolkata,Chennai,0.6,0.7,3.0,0.5,0.7,0.8,0.5,1,2,3,0"
"Perishable,16.61,5,Chennai,Kolkata,0.7,0.6,2.1,0.7,0.5,0.6,0.9,1,3,0,3"
"Perishable,1.24,12,Mundra,Mumbai,0.9,0.65,1.0,0.95,0.2,0.3,0.9,0,3,5,4"
"Perishable,1.0,7,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.9,1,3,3,2"
"Electronics,18.01,12,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.7,0,0,1,3"
"Machinery,9.5,7,Kolkata,Mumbai,0.6,0.65,3.0,0.5,0.7,0.8,0.5,1,2,3,4"
"Machinery,16.1,12,Mundra,Chennai,0.9,0.7,1.0,0.95,0.2,0.3,0.5,0,2,5,0"
"Perishable,2.56,9,Cochin,Mumbai,0.75,0.65,1.8,0.75,0.4,0.6,0.9,0,3,1,4"
"Standard,3.09,6,Mumbai,Chennai,0.65,0.7,2.5,0.6,0.6,0.5,0.3,1,4,4,0"
"Standard,19.86,9,Mundra,Chennai,0.9,0.7,1.0,0.95,0.2,0.3,0.3,0,4,5,0"
"Electronics,7.15,1,Cochin,Mumbai,0.75,0.65,1.8,0.75,0.4,0.6,0.7,0,0,1,4"
"Fragile,13.88,12,Mundra,Chennai,0.9,0.7,1.0,0.95,0.2,0.3,0.8,0,1,5,0"
"Fragile,11.49,5,Cochin,Mundra,0.75,0.9,1.8,0.75,0.4,0.6,0.8,0,1,1,5"
"Fragile,8.54,4,JNPT,Cochin,0.85,0.75,1.2,0.9,0.3,0.4,0.8,0,1,2,1"
"Electronics,13.38,12,Mumbai,Kolkata,0.65,0.6,2.5,0.6,0.6,0.5,0.7,1,0,4,3"
"Standard,12.63,5,Mundra,JNPT,0.9,0.85,1.0,0.95,0.2,0.3,0.3,0,4,5,2"
"Machinery,14.14,3,Chennai,Mundra,0.7,0.9,2.1,0.7,0.5,0.6,0.5,0,2,0,5"
"Electronics,16.48,7,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.7,1,0,3,2"
"Machinery,5.78,7,Chennai,JNPT,0.7,0.85,2.1,0.7,0.5,0.6,0.5,0,2,0,2"
"Fragile,12.4,9,Mundra,Cochin,0.9,0.75,1.0,0.95,0.2,0.3,0.8,0,1,5,1"
"Fragile,19.38,12,Mundra,Chennai,0.9,0.7,1.0,0.95,0.2,0.3,0.8,0,1,5,0"
"Fragile,19.98,4,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.8,0,1,2,3"
"Standard,18.38,5,Chennai,Kolkata,0.7,0.6,2.1,0.7,0.5,0.6,0.3,0,4,0,3"
"Standard,4.25,3,Mundra,Cochin,0.9,0.75,1.0,0.95,0.2,0.3,0.3,0,4,5,1"
"Fragile,13.62,11,Chennai,Cochin,0.7,0.75,2.1,0.7,0.5,0.6,0.8,1,1,0,1"
"Fragile,14.18,6,JNPT,Chennai,0.85,0.7,1.2,0.9,0.3,0.4,0.8,0,1,2,0"
"Perishable,13.05,11,Mundra,Kolkata,0.9,0.6,1.0,0.95,0.2,0.3,0.9,0,3,5,3"
"Standard,4.68,6,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.3,0,4,1,3"
"Standard,6.65,9,Kolkata,Cochin,0.6,0.75,3.0,0.5,0.7,0.8,0.3,1,4,3,1"
"Standard,12.84,12,Mundra,Cochin,0.9,0.75,1.0,0.95,0.2,0.3,0.3,0,4,5,1"
"Machinery,18.04,1,JNPT,Mundra,0.85,0.9,1.2,0.9,0.3,0.4,0.5,0,2,2,5"
"Standard,11.15,4,Mundra,Mumbai,0.9,0.65,1.0,0.95,0.2,0.3,0.3,0,4,5,4"
"Fragile,10.98,8,Cochin,Mumbai,0.75,0.65,1.8,0.75,0.4,0.6,0.8,0,1,1,4"
"Perishable,6.29,4,Mumbai,JNPT,0.65,0.85,2.5,0.6,0.6,0.5,0.9,1,3,4,2"
"Machinery,12.68,3,Mumbai,Chennai,0.65,0.7,2.5,0.6,0.6,0.5,0.5,1,2,4,0"
"Perishable,11.4,7,Cochin,JNPT,0.75,0.85,1.8,0.75,0.4,0.6,0.9,0,3,1,2"
"Electronics,11.42,9,Mundra,JNPT,0.9,0.85,1.0,0.95,0.2,0.3,0.7,0,0,5,2"
"Perishable,18.71,6,Mumbai,Kolkata,0.65,0.6,2.5,0.6,0.6,0.5,0.9,1,3,4,3"
"Standard,17.32,11,Mundra,Chennai,0.9,0.7,1.0,0.95,0.2,0.3,0.3,0,4,5,0"
"Perishable,10.69,9,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.9,0,3,2,3"
"Machinery,12.37,2,Chennai,JNPT,0.7,0.85,2.1,0.7,0.5,0.6,0.5,0,2,0,2"
"Perishable,13.03,6,Mumbai,Cochin,0.65,0.75,2.5,0.6,0.6,0.5,0.9,1,3,4,1"
"Perishable,18.32,11,JNPT,Chennai,0.85,0.7,1.2,0.9,0.3,0.4,0.9,0,3,2,0"
"Perishable,0.63,7,Mumbai,Kolkata,0.65,0.6,2.5,0.6,0.6,0.5,0.9,1,3,4,3"
"Machinery,5.09,3,JNPT,Mundra,0.85,0.9,1.2,0.9,0.3,0.4,0.5,0,2,2,5"
"Perishable,18.37,5,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.9,1,3,3,2"
"Fragile,13.64,7,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.8,1,1,3,5"
"Machinery,15.91,11,Chennai,JNPT,0.7,0.85,2.1,0.7,0.5,0.6,0.5,0,2,0,2"
"Standard,19.95,6,JNPT,Cochin,0.85,0.75,1.2,0.9,0.3,0.4,0.3,0,4,2,1"
"Machinery,7.47,9,Mumbai,Mundra,0.65,0.9,2.5,0.6,0.6,0.5,0.5,1,2,4,5"
"Electronics,11.86,4,JNPT,Chennai,0.85,0.7,1.2,0.9,0.3,0.4,0.7,0,0,2,0"
"Machinery,4.74,8,Kolkata,Cochin,0.6,0.75,3.0,0.5,0.7,0.8,0.5,1,2,3,1"
"Electronics,11.5,1,Chennai,Mundra,0.7,0.9,2.1,0.7,0.5,0.6,0.7,0,0,0,5"
"Electronics,18.14,12,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.7,0,0,1,3"
"Standard,6.88,12,Cochin,Chennai,0.75,0.7,1.8,0.75,0.4,0.6,0.3,0,4,1,0"
"Machinery,8.88,10,Cochin,Chennai,0.75,0.7,1.8,0.75,0.4,0.6,0.5,0,2,1,0"
"Fragile,12.8,8,Chennai,Kolkata,0.7,0.6,2.1,0.7,0.5,0.6,0.8,1,1,0,3"
"Perishable,2.24,1,Cochin,JNPT,0.75,0.85,1.8,0.75,0.4,0.6,0.9,0,3,1,2"
"Perishable,9.01,6,Mundra,JNPT,0.9,0.85,1.0,0.95,0.2,0.3,0.9,0,3,5,2"
"Machinery,13.86,8,Kolkata,Cochin,0.6,0.75,3.0,0.5,0.7,0.8,0.5,1,2,3,1"
"Electronics,2.36,12,Chennai,JNPT,0.7,0.85,2.1,0.7,0.5,0.6,0.7,0,0,0,2"
"Fragile,7.0,5,Chennai,Kolkata,0.7,0.6,2.1,0.7,0.5,0.6,0.8,1,1,0,3"
"Perishable,19.65,3,Chennai,Cochin,0.7,0.75,2.1,0.7,0.5,0.6,0.9,1,3,0,1"
"Machinery,6.61,9,Mundra,Kolkata,0.9,0.6,1.0,0.95,0.2,0.3,0.5,0,2,5,3"
"Machinery,10.08,4,Mundra,Cochin,0.9,0.75,1.0,0.95,0.2,0.3,0.5,0,2,5,1"
"Perishable,2.26,7,Mumbai,Cochin,0.65,0.75,2.5,0.6,0.6,0.5,0.9,1,3,4,1"
"Electronics,3.94,5,Kolkata,Mumbai,0.6,0.65,3.0,0.5,0.7,0.8,0.7,1,0,3,4"
"Fragile,5.18,11,Mundra,Chennai,0.9,0.7,1.0,0.95,0.2,0.3,0.8,0,1,5,0"
"Electronics,13.04,4,Mundra,JNPT,0.9,0.85,1.0,0.95,0.2,0.3,0.7,0,0,5,2"
"Perishable,8.83,3,Mumbai,Cochin,0.65,0.75,2.5,0.6,0.6,0.5,0.9,1,3,4,1"
"Fragile,18.01,8,Chennai,JNPT,0.7,0.85,2.1,0.7,0.5,0.6,0.8,1,1,0,2"
"Perishable,5.67,2,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.9,1,3,3,2"
"Machinery,18.47,10,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.5,1,2,3,5"
"Standard,17.23,8,Cochin,JNPT,0.75,0.85,1.8,0.75,0.4,0.6,0.3,0,4,1,2"
"Fragile,12.52,2,Mumbai,JNPT,0.65,0.85,2.5,0.6,0.6,0.5,0.8,1,1,4,2"
"Electronics,8.82,4,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.7,0,0,2,3"
"Perishable,3.38,2,Mumbai,Kolkata,0.65,0.6,2.5,0.6,0.6,0.5,0.9,1,3,4,3"
"Machinery,8.62,12,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.5,0,2,1,3"
"Machinery,14.07,9,Kolkata,Chennai,0.6,0.7,3.0,0.5,0.7,0.8,0.5,1,2,3,0"
"Perishable,16.02,1,Mundra,Cochin,0.9,0.75,1.0,0.95,0.2,0.3,0.9,0,3,5,1"
"Perishable,9.13,1,Chennai,Mumbai,0.7,0.65,2.1,0.7,0.5,0.6,0.9,1,3,0,4"
"Perishable,1.12,7,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.9,1,3,3,5"
